radius_pc,gamma_seg,temperature_K,velocity_excess_km_s,frequency_ratio
4.617034,0.999673,239.921496,0.003272,0.999673
4.626854,0.999681,239.923446,0.003191,0.999681
4.636673,0.999689,239.925351,0.003111,0.999689
4.646493,0.999697,239.927212,0.003034,0.999697
4.656313,0.999704,239.929031,0.002958,0.999704
4.666132,0.999712,239.930808,0.002884,0.999712
4.675952,0.999719,239.932544,0.002811,0.999719
4.685772,0.999726,239.934240,0.002741,0.999726
4.695591,0.999733,239.935897,0.002672,0.999733
4.705411,0.999740,239.937515,0.002604,0.999740
4.715230,0.999746,239.939096,0.002538,0.999746
4.725050,0.999753,239.940640,0.002474,0.999753
4.734870,0.999759,239.942148,0.002411,0.999759
4.744689,0.999765,239.943621,0.002350,0.999765
4.754509,0.999771,239.945059,0.002290,0.999771
4.764329,0.999777,239.946463,0.002231,0.999777
4.774148,0.999783,239.947835,0.002174,0.999783
4.783968,0.999788,239.949173,0.002118,0.999788
4.793788,0.999794,239.950480,0.002064,0.999794
4.803607,0.999799,239.951756,0.002011,0.999799
4.813427,0.999804,239.953002,0.001959,0.999804
4.823246,0.999809,239.954218,0.001908,0.999809
4.833066,0.999814,239.955405,0.001858,0.999814
4.842886,0.999819,239.956563,0.001810,0.999819
4.852705,0.999824,239.957694,0.001763,0.999824
4.862525,0.999828,239.958797,0.001717,0.999828
4.872345,0.999833,239.959874,0.001672,0.999833
4.882164,0.999837,239.960925,0.001628,0.999837
4.891984,0.999841,239.961950,0.001586,0.999841
4.901804,0.999846,239.962950,0.001544,0.999846
4.911623,0.999850,239.963926,0.001503,0.999850
4.921443,0.999854,239.964878,0.001464,0.999854
4.931263,0.999858,239.965807,0.001425,0.999858
4.941082,0.999861,239.966713,0.001387,0.999861
4.950902,0.999865,239.967597,0.001350,0.999865
4.960721,0.999869,239.968459,0.001314,0.999869
4.970541,0.999872,239.969299,0.001279,0.999872
4.980361,0.999875,239.970119,0.001245,0.999875
4.990180,0.999879,239.970919,0.001212,0.999879
5.000000,0.999882,239.971698,0.001179,0.999882
